,AI_Superficie,AI_SuperficieVisuraTotaleAttuale,AI_SuperficieVisuraTotaleEAttuale,AI_SuperficieCalcolata,AI_SuperficieVisuraTotale,AI_Rendita,OV_ValoreMercatoMin_ottimo,OV_ValoreMercatoMax_ottimo,AI_ConsistenzaValore,OV_ValoreMercatoMin_normale,OV_ValoreMercatoMax_normale,II_ST19,II_ST1,II_P88,AI_IdParticellaCatastale,ISC_Sez21,II_P2,II_P84,II_P1,ISC_Pop21,AI_IdCategoriaCatastale,AI_IdTipologiaEdilizia,AI_IdSettoreMercato,OZ_LinkZona,OZ_Zona,OZ_CodiceZona,A_IdDecodificaAtto,A_IdTipologiaAtto,AI_ConsistenzaUm,A_Semestre
AI_Superficie,1.0,0.9930318832442608,0.9918759090985994,0.9790377466151502,1.0,0.704070602614531,0.38697107788329316,0.3641389890003503,0.793092526200738,0.03526289532963242,0.014744598100972254,-0.05484538465246705,-0.05583650646552963,-0.05588204646498176,0.02854545886534278,-0.019042450603922054,-0.050429037761554274,-0.04992733190559027,-0.049607830989147624,-0.049607830989147624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_SuperficieVisuraTotaleAttuale,0.9930318832442608,1.0,0.9986114476993025,0.9757497590890221,0.9930428182053468,0.7074841533422996,0.39811140476032353,0.372264289131426,0.7768291551027793,0.032402175472047226,0.007056283929612225,-0.05379065674601439,-0.05498190259818765,-0.06205202847286477,0.02808189440721923,0.010708645962570233,-0.057826961108746244,-0.057585585666944335,-0.05800584933019332,-0.05800584933019332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_SuperficieVisuraTotaleEAttuale,0.9918759090985994,0.9986114476993025,1.0,0.9763653117791851,0.9918116172723598,0.7061432984767717,0.398854521865147,0.3752220227951604,0.7803698583218177,0.03423985621834963,0.00913510495034372,-0.05244346567148288,-0.05404959993553007,-0.06362890974042563,0.02630519193240975,0.0011511748127058625,-0.059970652489019546,-0.05957164738223542,-0.05963589600766168,-0.05963589600766168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_SuperficieCalcolata,0.9790377466151502,0.9757497590890221,0.9763653117791851,1.0,0.9698729528386861,0.6912724368948645,0.3496262541642118,0.328216225898141,0.8000864993811238,0.022844062622238048,0.0029326679178115125,-0.043417904699931384,-0.04438418436201974,-0.04455765808005929,0.024356331307757568,-0.014130094320208987,-0.04188135909211155,-0.04146759159020284,-0.040270473776401035,-0.040270473776401035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_SuperficieVisuraTotale,1.0,0.9930428182053468,0.9918116172723598,0.9698729528386861,1.0,0.7012232271758503,0.3098379526006835,0.2994065811438056,0.7094678103926421,0.017173489223089974,-0.00020376564496396227,-0.04748251687640405,-0.04906334846185889,-0.04396737247001109,0.02567820977887089,-0.05935276346218164,-0.032292690476118775,-0.03174461896233371,-0.031513254909178536,-0.031513254909178536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_Rendita,0.704070602614531,0.7074841533422996,0.7061432984767717,0.6912724368948645,0.7012232271758503,1.0,0.49542507355796594,0.5354494534431838,0.470682528526333,0.07807347133979992,0.06571753805490524,-0.04010428035905469,-0.042028465939990704,-0.035074949959898294,0.019934588459040024,-0.07682759022129197,-0.009578552609761029,-0.008786067761680005,-0.007559142074620102,-0.007559142074620102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OV_ValoreMercatoMin_ottimo,0.38697107788329316,0.39811140476032353,0.398854521865147,0.3496262541642118,0.3098379526006835,0.49542507355796594,1.0,0.9795100129992471,0.21635360282439123,0.9707476155365774,0.9846869408490594,-0.13437469014645673,-0.13413939640491568,-0.0874352338789067,0.10735874358038242,-0.20391581094220457,-0.03189221380280438,-0.03006922049115151,-0.027551572279651677,-0.027551572279651677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OV_ValoreMercatoMax_ottimo,0.3641389890003503,0.372264289131426,0.3752220227951604,0.328216225898141,0.2994065811438056,0.5354494534431838,0.9795100129992471,1.0,0.2430646040302428,0.9349158345016623,0.9691208059155537,-0.1269918847225213,-0.12798321664431964,-0.0912444702212309,0.09381649201702431,-0.2505190146110973,-0.03830848275087084,-0.035764116004769426,-0.03275056678993773,-0.03275056678993773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_ConsistenzaValore,0.793092526200738,0.7768291551027793,0.7803698583218177,0.8000864993811238,0.7094678103926421,0.470682528526333,0.21635360282439123,0.2430646040302428,1.0,0.0363601175082172,0.03113476444851147,-0.05410563974557754,-0.05529216322297864,-0.0719299721562467,0.022094037360284195,0.006323745064707051,-0.07067204327934898,-0.07071620496351975,-0.07065375891837086,-0.07065375891837086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OV_ValoreMercatoMin_normale,0.03526289532963242,0.032402175472047226,0.03423985621834963,0.022844062622238048,0.017173489223089974,0.07807347133979992,0.9707476155365774,0.9349158345016623,0.0363601175082172,1.0,0.9905895384026765,-0.2113989089796368,-0.21439973542597357,-0.14320703621354947,0.1532110156850931,-0.34096636565279526,-0.046438057917799175,-0.0400233769096496,-0.030213534456344983,-0.030213534456344983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
